,Name,Sector,Code,Market,Mktcap(m),Share_count(m),EPS,PERatio,ROE
0,AEMULUS HOLDINGS BERHAD,TECHNOLOGY ,AEMULUS (0181),ACE,153.69,548.9,0.73 *,38.36,5.21
1,APPASIA BERHAD,TECHNOLOGY ,APPASIA (0119),ACE,31.07,345.25,-0.35 *,-,-4.49
2,ASDION BERHAD,TECHNOLOGY ,ASDION (0068),ACE,22.38,127.9,-1.67 *,-,-24.56
3,CABNET HOLDINGS BERHAD,TECHNOLOGY ,CABNET (0191),ACE,36.64,178.75,2.39 *,8.58,8.98
4,CENSOF HOLDINGS BERHAD,TECHNOLOGY ,CENSOF (5195),MAIN,70.25,501.76,0.14 *,100,0.54
5,CUSCAPI BERHAD,TECHNOLOGY ,CUSCAPI (0051),MAIN,180.45,859.27,-2.03 *,-,-18.45
6,D&O GREEN TECHNOLOGIES BERHAD,TECHNOLOGY ,D&O (7204),MAIN,682.13,1109.0,3.32 *,18.52,11.07
7,DATAPREP HOLDINGS BHD,TECHNOLOGY ,DATAPRP (8338),MAIN,85.48,427.4,-2.77 *,-,-69.25
8,DGB ASIA BERHAD,TECHNOLOGY ,DGB (0152),ACE,79.4,756.17,-,-,-
9,DIVERSIFIED GATEWAY SOLUTIONS BERHAD,TECHNOLOGY ,DGSB (0131),ACE,70.84,745.73,-,-,-
10,DIGISTAR CORPORATION BERHAD,TECHNOLOGY ,DIGISTA (0029),MAIN,32.92,658.34,-3.06 *,-,-0.32
11,DAGANG NEXCHANGE BERHAD,TECHNOLOGY ,DNEX (4456),MAIN,509.83,1758.0,1.77 *,16.38,6.81
12,DATASONIC GROUP BERHAD,TECHNOLOGY ,DSONIC (5216),MAIN,999.0,1350.0,2.71 *,27.31,13.9
13,EA HOLDINGS BERHAD,TECHNOLOGY ,EAH (0154),ACE,50.72,5072.0,-0.94 *,-,-23.5
14,EDARAN BERHAD,TECHNOLOGY ,EDARAN (5036),MAIN,27.9,60.0,7.97 *,5.83,-
15,EDUSPEC HOLDINGS BERHAD,TECHNOLOGY ,EDUSPEC (0107),ACE,38.56,1102.0,-,-,-
16,EXCEL FORCE MSC BERHAD,TECHNOLOGY ,EFORCE (0065),MAIN,271.5,441.46,1.55 *,39.68,12.92
17,ELSOFT RESEARCH BERHAD,TECHNOLOGY ,ELSOFT (0090),MAIN,624.05,667.43,5.50 *,17,30.56
18,FRONTKEN CORPORATION BERHAD,TECHNOLOGY ,FRONTKN (0128),MAIN,1622.0,1053.0,5.82 *,26.46,18.77
19,FSBM HOLDINGS BERHAD,TECHNOLOGY ,FSBM (9377),MAIN,13.42,141.31,-0.36 *,-,-9
20,GENETEC TECHNOLOGY BERHAD,TECHNOLOGY ,GENETEC (0104),ACE,49.9,42.29,13.27 *,8.89,7.41
21,GHL SYSTEMS BERHAD,TECHNOLOGY ,GHLSYS (0021),MAIN,1049.0,749.21,3.34 *,41.92,6.03
22,G NEPTUNE BERHAD,TECHNOLOGY ,GNB (0045),ACE,18.77,288.75,-0.32 *,-,-
23,GRAND-FLO BERHAD,TECHNOLOGY ,GRANFLO (0056),MAIN,118.36,483.12,2.06 *,11.89,8.51
24,GREATECH TECHNOLOGY BERHAD,TECHNOLOGY ,GREATEC (0208),ACE,682.34,626.0,-,-,-
25,GLOBETRONICS TECHNOLOGY BERHAD,TECHNOLOGY ,GTRONIC (7022),MAIN,1218.0,669.13,8.67 *,20.99,20.64
26,HEITECH PADU BERHAD,TECHNOLOGY ,HTPADU (5028),MAIN,91.61,101.23,-29.29 *,-,-30.83
27,IDIMENSION CONSOLIDATED BHD,TECHNOLOGY ,IDMENSN (0174),ACE,6.8,271.96,-,-,-
28,IFCA MSC BERHAD,TECHNOLOGY ,IFCAMSC (0023),ACE,228.11,608.29,1.98 *,18.94,9.9
29,INARI AMERTRON BERHAD,TECHNOLOGY ,INARI (0166),MAIN,5180.0,3178.0,6.62 *,24.62,19.08
30,INIX TECHNOLOGIES HOLDINGS BERHAD,TECHNOLOGY ,INIX (0094),ACE,16.27,271.14,-7.32 *,-,-89.27
31,IRIS CORPORATION BERHAD,TECHNOLOGY ,IRIS (0010),ACE,444.94,2966.0,1.29 *,11.63,14.02
32,INDUSTRONICS BERHAD,TECHNOLOGY ,ITRONIC (9393),MAIN,12.43,113.04,-1.76 *,-,-13.54
33,JCY INTERNATIONAL BERHAD,TECHNOLOGY ,JCY (5161),MAIN,415.37,2077.0,-4.52 *,-,-10.07
34,JF TECHNOLOGY BERHAD,TECHNOLOGY ,JFTECH (0146),ACE,160.65,210.0,-0.02 *,-,-0.13
35,JHM CONSOLIDATION BERHAD,TECHNOLOGY ,JHM (0127),ACE,691.42,557.6,6.81 *,18.21,20.03
36,KESM INDUSTRIES BERHAD,TECHNOLOGY ,KESM (9334),MAIN,356.59,43.01,35.57 *,23.31,4.26
37,KEY ASIC BERHAD,TECHNOLOGY ,KEYASIC (0143),MAIN,109.32,950.57,0.24 *,47.92,6.86
38,KEY ALLIANCE GROUP BERHAD,TECHNOLOGY ,KGROUP (0036),ACE,20.83,520.71,-1.34 *,-,-8.87
39,KRONOLOGI ASIA BERHAD,TECHNOLOGY ,KRONO (0176),ACE,308.24,489.28,3.68 *,17.12,8.76
40,LAMBO GROUP BERHAD,TECHNOLOGY ,LAMBO (0018),ACE,136.64,2102.0,0.78 *,8.33,13.45
41,LYC HEALTHCARE BERHAD,TECHNOLOGY ,LYC (0075),ACE,97.46,324.86,-1.80 *,-,-25.71
42,MI TECHNOVATION BERHAD,TECHNOLOGY ,MI (5286),MAIN,890.0,500.0,8.93 *,19.93,13.13
43,MICROLINK SOLUTIONS BERHAD,TECHNOLOGY ,MICROLN (0126),ACE,75.32,167.37,0.55 *,81.82,4.7
44,MIKRO MSC BERHAD,TECHNOLOGY ,MIKROMB (0112),ACE,96.95,430.89,0.90 *,25,6.43
45,MLABS SYSTEMS BERHAD,TECHNOLOGY ,MLAB (0085),ACE,30.17,670.5,-,-,-
46,MMAG HOLDINGS BERHAD,TECHNOLOGY ,MMAG (0034),ACE,174.02,682.42,-,-,-
47,MMS VENTURES BERHAD,TECHNOLOGY ,MMSV (0113),MAIN,153.88,203.81,3.27 *,23.09,10.9
48,MANAGEPAY SYSTEMS BERHAD,TECHNOLOGY ,MPAY (0156),ACE,74.6,710.47,-1.02 *,-,-7.85
49,MALAYSIAN PACIFIC INDUSTRIES BERHAD,TECHNOLOGY ,MPI (3867),MAIN,1939.0,209.88,65.42 *,14.12,9.76
50,MQ TECHNOLOGY BERHAD,TECHNOLOGY ,MQTECH (0070),ACE,19.27,642.28,-0.94 *,-,-11.75
51,MESINIAGA BERHAD,TECHNOLOGY ,MSNIAGA (5011),MAIN,74.29,60.4,-21.98 *,-,-11.95
52,MY E.G. SERVICES BERHAD,TECHNOLOGY ,MYEG (0138),MAIN,5518.0,3606.0,-,-,-
53,MSCM HOLDINGS BERHAD,TECHNOLOGY ,MYSCM (0041),MAIN,55.75,265.49,-4.92 *,-,-76.88
54,NETX HOLDINGS BERHAD,TECHNOLOGY ,NETX (0020),ACE,61.05,3052.0,-0.46 *,-,-15.33
55,NOTION VTEC BERHAD,TECHNOLOGY ,NOTION (0083),MAIN,179.91,333.18,14.80 *,3.65,12.35
56,NOVA MSC BERHAD,TECHNOLOGY ,NOVAMSC (0026),ACE,78.91,751.56,1.10 *,9.55,15.71
57,OMESTI BERHAD,TECHNOLOGY ,OMESTI (9008),MAIN,193.67,478.21,-3.63 *,-,-11.75
58,OPENSYS (M) BERHAD,TECHNOLOGY ,OPENSYS (0040),ACE,95.33,297.89,3.28 *,9.76,17.26
59,ORION IXL BERHAD,TECHNOLOGY ,ORION (0079),ACE,102.54,707.18,-,-,-
60,PENTAMASTER CORPORATION BERHAD,TECHNOLOGY ,PENTA (7160),MAIN,1558.0,474.88,14.63 *,22.42,12.33
61,PINEAPPLE RESOURCES BERHAD,TECHNOLOGY ,PINEAPP (0006),ACE,16.01,48.5,-0.32 *,-,-0.59
62,PRESTARIANG BERHAD,TECHNOLOGY ,PRESBHD (5204),MAIN,242.0,484.0,-,-,-
63,REVENUE GROUP BERHAD,TECHNOLOGY ,REVENUE (0200),ACE,382.8,232.0,3.69 *,44.72,16.77
64,REXIT BERHAD,TECHNOLOGY ,REXIT (0106),ACE,123.07,189.33,4.13 *,15.74,21.74
65,RADIANT GLOBALTECH BERHAD,TECHNOLOGY ,RGTECH (0202),ACE,112.92,525.2,0.65 *,33.08,5.75
66,SECUREMETRIC BERHAD,TECHNOLOGY ,SMETRIC (0203),ACE,131.54,243.6,-,-,-
67,SMRT HOLDINGS BERHAD,TECHNOLOGY ,SMRT (0117),ACE,44.78,407.05,-1.70 *,-,-4.63
68,SMTRACK BERHAD,TECHNOLOGY ,SMTRACK (0169),ACE,34.99,148.9,-2.82 *,-,-31.33
69,SOLUTION ENGINEERING HOLDINGS BERHAD,TECHNOLOGY ,SOLUTN (0093),ACE,27.58,306.45,-0.93 *,-,-7.5
70,SYSTECH BHD,TECHNOLOGY ,SYSTECH (0050),ACE,67.8,347.71,0.22 *,88.64,0.01
71,TECHNODEX BHD,TECHNOLOGY ,TDEX (0132),ACE,38.38,590.42,-,-,-
72,TFP SOLUTIONS BERHAD,TECHNOLOGY ,TFP (0145),ACE,28.08,208.01,-1.23 *,-,-25.1
73,THETA EDGE BERHAD,TECHNOLOGY ,THETA (9075),MAIN,49.33,107.24,-2.07 *,-,-3.45
74,TRIVE PROPERTY GROUP BERHAD,TECHNOLOGY ,TRIVE (0118),MAIN,35.2,2346.0,-,-,-
75,TURIYA BERHAD,TECHNOLOGY ,TURIYA (4359),MAIN,28.59,228.73,-0.68 *,-,-1.28
76,UCREST BERHAD,TECHNOLOGY ,UCREST (0005),ACE,111.37,464.03,3.13 *,7.67,34.78
77,UNISEM (M) BERHAD,TECHNOLOGY ,UNISEM (5005),MAIN,1702.0,733.83,13.06 *,17.76,6.57
78,UWC BERHAD,TECHNOLOGY ,UWC (5292),MAIN,502.52,366.8,-,-,-
79,VORTEX CONSOLIDATED BERHAD,TECHNOLOGY ,VC (0060),ACE,64.14,388.72,0.07 *,235.71,0.3
80,VISDYNAMICS HOLDINGS BERHAD,TECHNOLOGY ,VIS (0120),ACE,69.36,169.17,3.52 *,11.65,14.67
81,VITROX CORPORATION BERHAD,TECHNOLOGY ,VITROX (0097),MAIN,3286.0,470.74,23.12 *,30.19,24.89
82,VIVOCOM INTL HOLDINGS BERHAD,TECHNOLOGY ,VIVOCOM (0069),ACE,84.97,5665.0,-1.27 *,-,-15.88
83,VSOLAR GROUP BERHAD,TECHNOLOGY ,VSOLAR (0066),ACE,67.56,386.07,-0.46 *,-,-11.5
84,VSTECS BERHAD,TECHNOLOGY ,VSTECS (5162),MAIN,183.6,180.0,13.61 *,7.49,8.4
85,WILLOWGLEN MSC BERHAD,TECHNOLOGY ,WILLOW (0008),MAIN,220.72,496.0,2.72 *,16.36,8.5
86,WINTONI GROUP BERHAD,TECHNOLOGY ,WINTONI (0141),ACE,17.96,513.0,-0.32 *,-,-
87,YGL CONVERGENCE BERHAD,TECHNOLOGY ,YGL (0086),ACE,31.36,232.29,-1.02 *,-,-14.57
88,ADVENTA BERHAD,HEALTH CARE ,ADVENTA (7191),MAIN,62.64,152.79,-,-,-
89,APEX HEALTHCARE BERHAD,HEALTH CARE ,AHEALTH (7090),MAIN,994.07,471.12,12.06 *,17.5,3.61
90,CAREPLUS GROUP BERHAD,HEALTH CARE ,CAREPLS (0163),ACE,82.36,531.36,-0.16 *,-,-0.83
91,DUOPHARMA BIOTECH BERHAD,HEALTH CARE ,DPHARMA (7148),MAIN,906.78,661.88,7.77 *,17.63,10.36
92,HARTALEGA HOLDINGS BERHAD,HEALTH CARE ,HARTA (5168),MAIN,17492.0,3351.0,13.61 *,38.35,20.31
93,IHH HEALTHCARE BERHAD,HEALTH CARE ,IHH (5225),MAIN,50801.0,8774.0,7.52 *,76.99,3.01
94,KOSSAN RUBBER INDUSTRIES BERHAD,HEALTH CARE ,KOSSAN (7153),MAIN,5116.0,1279.0,16.97 *,23.57,16.48
95,KOTRA INDUSTRIES BERHAD,HEALTH CARE ,KOTRA (0002),MAIN,273.53,143.96,14.76 *,12.87,12.83
96,KPJ HEALTHCARE BERHAD,HEALTH CARE ,KPJ (5878),MAIN,4394.0,4438.0,3.97 *,24.94,10.45
97,LKL INTERNATIONAL BERHAD,HEALTH CARE ,LKL (0182),ACE,47.17,428.8,-0.58 *,-,-4.46
98,MALAYSIAN GENOMICS RESOURCE CENTRE BERHAD,HEALTH CARE ,MGRC (0155),ACE,26.91,103.51,-3.82 *,-,-22.87
99,NOVA WELLNESS GROUP BERHAD,HEALTH CARE ,NOVA (0201),ACE,144.57,317.74,2.64 *,17.23,11.48
100,PHARMANIAGA BERHAD,HEALTH CARE ,PHARMA (7081),MAIN,726.22,261.23,17.03 *,16.32,8.39
101,SUPERMAX CORPORATION BERHAD,HEALTH CARE ,SUPERMX (7106),MAIN,2217.0,1360.0,8.71 *,18.71,10.75
102,TMC LIFE SCIENCES BERHAD,HEALTH CARE ,TMCLIFE (0101),MAIN,1245.0,1742.0,1.74 *,41.09,4.05
103,TOP GLOVE CORPORATION BHD,HEALTH CARE ,TOPGLOV (7113),MAIN,12112.0,2561.0,15.31 *,30.89,15.78
104,Y.S.P.SOUTHEAST ASIA HOLDING BERHAD,HEALTH CARE ,YSPSAH (7178),MAIN,340.58,139.58,20.39 *,11.97,8.87
105,ASTRAL ASIA BERHAD,PLANTATION ,AASIA (7054),MAIN,105.6,659.98,-0.56 *,-,-1.89
106,BATU KAWAN BERHAD,PLANTATION ,BKAWAN (1899),MAIN,7246.0,435.95,90.33 *,18.4,6.19
107,BLD PLANTATION BHD.,PLANTATION ,BLDPLNT (5069),MAIN,629.26,93.5,-,-,-
108,BOUSTEAD PLANTATIONS BERHAD,PLANTATION ,BPLANT (5254),MAIN,1635.0,2240.0,-3.27 *,-,-2.7
109,CEPATWAWASAN GROUP BERHAD,PLANTATION ,CEPAT (8982),MAIN,176.74,318.45,0.13 *,426.92,0.12
110,CHIN TECK PLANTATIONS BERHAD,PLANTATION ,CHINTEK (1929),MAIN,590.21,91.36,59.21 *,10.91,8.12
111,DUTALAND BERHAD,PLANTATION ,DUTALND (3948),MAIN,372.29,846.12,46.10 *,0.95,29.94
112,FAR EAST HOLDINGS BERHAD,PLANTATION ,FAREAST (5029),MAIN,1556.0,593.84,7.69 *,34.07,4.18
113,FGV HOLDINGS BERHAD,PLANTATION ,FGV (5222),MAIN,4122.0,3648.0,-29.73 *,-,-24.57
114,GENTING PLANTATIONS BERHAD,PLANTATION ,GENP (2291),MAIN,8992.0,897.36,11.77 *,85.13,2.27
115,GOLDEN LAND BERHAD,PLANTATION ,GLBHD (7382),MAIN,93.62,222.91,-9.72 *,-,-4.79
116,GOPENG BERHAD,PLANTATION ,GOPENG (2135),MAIN,186.95,268.99,0.07 *,992.86,0.06
117,HARN LEN CORPORATION BHD,PLANTATION ,HARNLEN (7501),MAIN,122.41,185.48,-12.12 *,-,-7.62
118,HAP SENG PLANTATIONS HOLDINGS BERHAD,PLANTATION ,HSPLANT (5138),MAIN,1256.0,800.0,2.26 *,69.47,1.11
119,IJM PLANTATIONS BERHAD,PLANTATION ,IJMPLNT (2216),MAIN,1294.0,880.58,-4.13 *,-,-2.74
120,INCH KENNETH KAJANG RUBBER PUBLIC LTD CO,PLANTATION ,INCKEN (2607),MAIN,250.35,420.75,-3.37 *,-,-2.04
121,INNOPRISE PLANTATIONS BERHAD,PLANTATION ,INNO (6262),MAIN,325.62,478.86,2.09 *,32.54,1.62
122,IOI CORPORATION BERHAD,PLANTATION ,IOICORP (1961),MAIN,26710.0,6285.0,9.88 *,43.02,6.72
123,JAYA TIASA HOLDINGS BHD,PLANTATION ,JTIASA (4383),MAIN,462.52,973.72,-22.31 *,-,-17.57
124,KUALA LUMPUR KEPONG BERHAD,PLANTATION ,KLK (2445),MAIN,25898.0,1068.0,59.70 *,40.64,5.98
125,KLUANG RUBBER COMPANY (MALAYA) BERHAD,PLANTATION ,KLUANG (2453),MAIN,214.15,63.17,-13.76 *,-,-1.28
126,KIM LOONG RESOURCES BERHAD,PLANTATION ,KMLOONG (5027),MAIN,1094.0,935.41,4.97 *,23.54,6.21
127,KRETAM HOLDINGS BERHAD,PLANTATION ,KRETAM (1996),MAIN,907.77,2328.0,-1.30 *,-,-4.98
128,KWANTAS CORPORATION BERHAD,PLANTATION ,KWANTAS (6572),MAIN,218.17,311.68,-38.75 *,-,-10.25
129,MALPAC HOLDINGS BERHAD,PLANTATION ,MALPAC (4936),MAIN,59.25,75.0,-7.70 *,-,-3.44
130,MATANG BERHAD,PLANTATION ,MATANG (0189),ACE,126.7,1810.0,0.13 *,53.85,1.3
131,MHC PLANTATIONS BHD,PLANTATION ,MHC (5026),MAIN,115.96,196.54,1.29 *,45.74,1.02
132,NPC RESOURCES BERHAD,PLANTATION ,NPC (5047),MAIN,228.0,120.0,-38.61 *,-,-17.47
133,NEGRI SEMBILAN OIL PALMS BERHAD,PLANTATION ,NSOP (2038),MAIN,245.0,70.2,13.61 *,25.64,1.74
134,PINEHILL PACIFIC BERHAD,PLANTATION ,PINEPAC (1902),MAIN,46.44,149.8,-21.29 *,-,-45.3
135,PLS PLANTATIONS BERHAD,PLANTATION ,PLS (9695),MAIN,322.64,350.7,-4.21 *,-,-7.61
136,RIMBUNAN SAWIT BERHAD,PLANTATION ,RSAWIT (5113),MAIN,262.42,1418.0,-9.98 *,-,-33.27
137,RIVERVIEW RUBBER ESTATES BERHAD,PLANTATION ,RVIEW (2542),MAIN,190.66,64.85,4.02 *,73.13,0.98
138,SUNGEI BAGAN RUBBER COMPANY (MALAYA) BERHAD,PLANTATION ,SBAGAN (2569),MAIN,192.36,66.33,-12.25 *,-,-1.36
139,SIN HENG CHAN (MALAYA) BERHAD,PLANTATION ,SHCHAN (4316),MAIN,40.88,131.87,-5.75 *,-,-13.37
140,SIME DARBY PLANTATION BERHAD,PLANTATION ,SIMEPLT (5285),MAIN,33252.0,6885.0,-,-,-
141,SARAWAK OIL PALMS BERHAD,PLANTATION ,SOP (5126),MAIN,1302.0,570.87,7.63 *,29.88,2.02
142,SARAWAK PLANTATION BERHAD,PLANTATION ,SWKPLNT (5135),MAIN,462.0,280.0,6.28 *,26.27,3.19
143,TA ANN HOLDINGS BERHAD,PLANTATION ,TAANN (5012),MAIN,1000.9999999999999,444.84,18.44 *,12.2,5.84
